,date,title,source,contents,link
239,2016.10.16.,"'2016 대전사이언스페스티벌', 온 가족을 과학 세계로 안내",아주경제,"[2016 대전사이언스페스티벌 포스터 ] 대전시(시장 권선택)와 대전마케팅공사(사장 이명완)는 오는 22~25일까지 4일간 엑스포시민광장, 한빛탑 광장 주변에서 ‘2016 대전사이언스페스티벌’을 개최한다. 특히 이번...",http://www.ajunews.com/view/20161016110148894
240,2016.09.12.,"2016 대전 사이언스 페스티벌, 탄소중립형 행사로",투데이에너지,[투데이에너지 김나영 기자] 한국에너지공단(이사장 변종립)은 8일 대전광역시(시장 권선택)와 '2016 대전 사이언스 페스티벌'의 탄소중립형 행사 개최를 위한 업무협약을 체결했다. 탄소중립형 행사는 기업이나 지자체...,http://www.todayenergy.kr/news/articleView.html?idxno=117308
241,2016.08.17.,"대전사이언스페스티벌, X-STEM으로 승부 걸다!",충남일보,"공사 관계자는 ""이번 19회를 맞는 대전사이언스페스티벌은 그동안 어렵게만 느껴졌던 알지 못했던 과학을, 일반시민들이 쉽고 재미있게 느끼고 공감할 수 있는 이야기 마당으로 만들고자 노력하고 있다""라고...",http://www.chungnamilbo.com/news/articleView.html?idxno=373580
242,2016.10.12.,대전에서 보령까지…전통시장 축제 현장을 가다,정책브리핑,대전에서는 이제 곧 연계축제인 대전사이언스페스티벌(10월 22일~25일)과 대전국제와인페어(10월 28일~30일)가 열리고 충남에서는 지난 9월 24일~10월 초에 제62회 백제문화제가 성공적으로 마무리된 바 있다. 코리아 세일...,http://reporter.korea.kr/reporterWeb/getNewsReporter.do?newsDataId=148822914
243,2016.09.19.,[CMB뉴스][네트워크]이츠대전뉴스,CMB대전방송,"대전시는 2016 대전와인페어, 대전사이언스페스티벌을 주제로 홍보관을 구성 운영했으며, 와인시음회 등 다양한 이벤트 행사를 펼쳤습니다. #CMB대전방송 #뉴스와이드 #굿뉴스 #대전시 #대전 동구 #대전 중구 #대전 서구...",http://www.cmbdj.co.kr/ab-991-6250
244,2016.10.05.,"대전 상수도 민영화 논란, 거리로 나왔다",한겨레,시는 대전 사이언스페스티벌 등 행사장에서 고도정수처리시설 민간투자사업의 필요성을 알리고 시민 공감대를 넓히는 토론회도 계속 열 방침이다. 앞서 시는 지난달 22일부터 4차례에 걸쳐 대전시 공무원 2400명에게...,http://www.hani.co.kr/arti/society/area/764264.html
245,2016.10.04.,대덕연구단지를 떠나는 출연연...대전시 무관심이 출연연 이탈 가속화,전자신문,2014년 열린 `대전사이언스페스티벌`에는 14개 출연연만 참여했다. 다음 달에 열리는 행사에는 대부분 참여하지만 기존 프로그램 재탕 수준으로 진행될 예정이다. 대전시는 오히려 느긋하다. 출연연과 대전시 간 불편한...,http://www.etnews.com/20161004000380
246,2016.10.07.,사이언스페스티벌·와인페어… 축제로 물든 대전,대전일보,6일 대전시에 따르면 이달 중 대전에서는 과학도시 위상에 걸맞은 대규모 과학축제인 사이언스 페스티벌을 비롯해 매주 주말을 전후해 다양한 축제와 행사가 잇따라 열린다. 우선 과학·문화의 융합을 통해 미래...,http://www.daejonilbo.com/news/newsitem.asp?pk_no=1233596
247,2016.09.08.,"대전시, 사이언스페스티벌 탄소중립형 행사 모델화 협약",충남일보,지난 6월 각 지자체를 대상으로 이의 시범 적용행사를 공모해 2016 대전사이언스 페스티벌과 충남에서 열릴 전국체전을 탄소 중립형 행사 가이드라인 모델화 시범사업으로 선정한 바 있다. 시는 과학 기술 도시 브랜드...,http://www.chungnamilbo.com/news/articleView.html?idxno=375870
248,2016.12.02.,"[오늘의주요일정]대전·충남(2일, 금)",뉴스1,(대전ㆍ충남=뉴스1) 송애진 기자 = ◇ 대전시 - 권선택 시장 07:00 지방자치 포럼(프레스센터) 11:00 2016 대전사이언스페스티벌 평가보고회(대회의실) 14:00 대전시 산업단지계획심의원회(중회의실)...,http://news1.kr/articles/?2846652
249,2016.08.18.,사이언스페스티벌서 듣는 과학 이야기,대전일보,"대전시, X-STEM 강연 프로그램 진행 2016 대전사이언스페스티벌이 과학과 소통의 장으로 진행된다. 대전시와 대전마케팅공사는 17일 이번 사이언스페스티벌에서 일반인들이 과학을 보다 쉽고 재미있게 접하기 위해...",http://www.daejonilbo.com/news/newsitem.asp?pk_no=1226910
250,2016.10.19.,과학도시 대전서 VR로 달 탐사 가 보자,서울신문,[서울신문] 가상현실 통한 우주 탐험 등 나흘간 체험 프로그램 풍성 ‘가상현실(VR)로 카누와 산악자전거를 타고 달 착륙선과 나로호 모델도 보고….’ 지난해 대전사이언스페스티벌을 찾은 어린이들이 엄마 아빠와 함께...,http://www.seoul.co.kr/news/newsView.php?id=20161019025032&wlog_tag3=naver
251,2016.08.22.,대전발명경진대회 수상작 선정,충청일보,"작품은 오는 10월 22일(토)부터 10월 25(화)까지 개최되는'2016 대전사이언스페스티벌'기간에 시상과 함께 전시할 예정이다. 김정홍 시 산업정책과장은 ""대전발명경진대회를 통해 발명과 지식재산에 대한 인식제고는...",http://www.ccdailynews.com/news/articleView.html?idxno=887652
252,2016.08.30.,"대전사이언스페스티벌 앞두고 출연연 ""과학축제 하면 뭐하나…""",대전일보,'2016 대전사이언스페스티벌'을 앞두고 대덕특구 일부 정부출연연구기관(출연연)들이 대전시가 대표적인 과학문화축제로 키우려는 노력 보다는 행사 참여기관 수 채우기에 급급하는 모습을 보여준다며 회의적인 시각을...,http://www.daejonilbo.com/news/newsitem.asp?pk_no=1228588
253,2016.07.20.,대전사이언스페스티벌 착수보고회,충청투데이,대전시는 20일 시청 대회의실에서 ‘2016년 대전사이언스페스티벌 착수보고회’를 개최했다. 보고회는 권선택 시장과 이규호 대전사이언스페스티벌 추진위원회 위원장(한국화학연구원 원장)을 비롯해 추진위원회...,http://www.cctoday.co.kr/?mod=news&act=articleView&idxno=991881
